Name,Platform,Year_of_Release
Alice: Madness Returns,PC,2011
Petz Puppyz & Kittenz,DS,2011
Tom Clancy's Splinter Cell: Blacklist,WiiU,2013
Spider-Man: Edge of Time,3DS,2011
Samurai Warriors 4-II,PS4,2015
Love Live! School Idol Paradise,PSV,2014
Lost Planet 3,X360,2013
Brunswick Pro Bowling,3DS,2011
Wipeout 2,PS3,2011
LEGO Batman 2: DC Super Heroes,WiiU,2013
Tropico 5,PC,2014
Reality Fighters,PSV,2012
Petz Fantasy: Moonlight Magic,DS,2010
The Price is Right: Decades,Wii,2011
Power Pro Kun Pocket 14,DS,2011
Jikkyou Powerful Pro Baseball 2016,PS3,2016
FIFA 17,PC,2016
After Hours Athletes,PS3,2011
Disney Princess: Enchanting Storybooks,DS,2011
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013
Armored Core: Verdict Day,PS3,2013
Madden NFL 17,PS3,2016
Lost in Shadow,Wii,2010
Legend of the Guardians: The Owls of Ga'Hoole,Wii,2010
DreamWorks Super Star Kartz,PS3,2011
Cabela's North American Adventures,PS3,2010
Darkspore,PC,2011
Self-Defense Training Camp,X360,2011
Midnight Mysteries: The Edgar Allan Poe Conspiracy,DS,2010
Dynasty Warriors 8: Xtreme Legends,PSV,2013
Yakuza,PS3,2012
Deception IV: Blood Ties,PS3,2014
Fuse (Insomniac),PS3,2013
18 Wheels of Steel: Extreme Trucker 2,PC,2011
Lost Horizon,PC,2010
Minute to Win It,DS,2010
Rugby 15,PS4,2015
Puzzle Quest 2,DS,2010
Final Fantasy III,PSP,2012
Taiko Drum Master: Tokumori!,WiiU,2014
Disney Art Academy,3DS,2016
MySims SkyHeroes,PS3,2010
Persona 5,PS3,2016
Hyperdimension Neptunia U: Action Unleashed,PSV,2014
Yogi Bear: The Video Game,Wii,2010
Pocket Soccer League: Calciobit,3DS,2012
Heart Catch PreCure! Oshare Collection,DS,2010
Blood Drive,X360,2010
The Price is Right: Decades,X360,2011
Vacation Isle: Beach Party,Wii,2010
The Walking Dead: Survival Instinct,WiiU,2013
Shin Sangoku Musou: Multi Raid 2,PSP,2010
Puyo Puyo Tetris,3DS,2014
Fatal Frame: Maiden of Black Water,WiiU,2014
Samurai Warriors 4-II,PS3,2015
Tom Clancy's Splinter Cell Trilogy,PS3,2011
The Lord of the Rings: Aragorn's Quest,DS,2010
MLB 13: The Show,PSV,2013
Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,3DS,2015
Split/Second,PSP,2010
Zangeki no Reginleiv,Wii,2010
Funky Barn,3DS,2012
Transformer: Rise of the Dark Spark,PS3,2014
MotoGP 14 ,PS3,2014
Toukiden 2,PSV,2016
Happy Feet Two,3DS,2011
Transformer: Rise of the Dark Spark,XOne,2014
To Heart 2: Dungeon Travelers,PSP,2011
WWE All Stars,PS2,2011
Dementium II,DS,2010
BlazBlue: Calamity Trigger Portable,PSP,2010
Akiba's Trip: Undead & Undressed,PS3,2013
de Blob 2,DS,2011
Call of Juarez: The Cartel,PC,2011
Let's Play Garden,DS,2010
LEGO Ninjago: Shadow of Ronin,PSV,2015
JASF: Jane's Advanced Strike Fighters,PS3,2011
Digimon Story: Cyber Sleuth,PS4,2016
NCIS 3D,3DS,2011
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PS3,2011
Ridge Racer Unbounded,X360,2012
Family Game Night 4: The Game Show,PS3,2011
Yard Sale Hidden Treasures: Sunnyville,DS,2010
John Daly's ProStroke Golf,PS3,2010
Get Up and Dance,Wii,2011
Truth or Lies,X360,2010
Puzzler World 2,DS,2010
Gabrielle's Ghostly Groove 3D,3DS,2011
Nickelodeon Dance,X360,2011
PriPara Mezase! Idol Grand Prix No.1!,3DS,2015
Shin Sangoku Musou 6 Special,PSP,2011
Valkyrie Drive: Bhikkhuni,PSV,2015
DualPenSports,3DS,2011
Grease,DS,2010
Bodycount,PS3,2011
Samurai Warriors 4,PSV,2014
Winter Stars,Wii,2011
Hasbro Family Game Night Fun Pack,Wii,2011
Frontier Gate,PSP,2011
AKB48+Me,3DS,2012
Yomawari,PSV,2015
ESA Game Pack,PS3,2010
Invizimals: The Lost Tribes,PSP,2011
Bodycount,X360,2011
Michael Phelps: Push the Limit,X360,2011
Wasteland 2,PS4,2015
Batman: Return to Arkham,XOne,2016
Shining Ark,PSP,2013
My Little Sister Can't Be This Cute Portable,PSP,2012
Hole in the Wall: Deluxe Edition,X360,2011
Blazblue: Continuum Shift Extend,PSV,2011
Picross 3D 2,3DS,2015
PDC World Championship Darts: Pro Tour,Wii,2010
Hollywood Squares,Wii,2010
Silly Bandz: Play The Craze,DS,2010
RIGS: Mechanized Combat League,PS4,2016
ATV Quad Kings,DS,2010
NBA Live 16,XOne,2015
Deus Ex: Human Revolution,WiiU,2013
Sonic Generations,PC,2011
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,X360,2011
[Prototype 2],PC,2012
Zombie Army Trilogy,XOne,2015
Cabela's North American Adventures,X360,2010
Cabela's Adventure Camp,PS3,2011
God Eater 2: Rage Burst,PS4,2015
BlazBlue: Continuum Shift II,3DS,2011
Cats & Dogs: The Revenge of Kitty Galore,DS,2010
NASCAR '14,PS3,2014
Shrek: Forever After,X360,2010
Pro Evolution Soccer 2016,XOne,2015
ArmA III,PC,2013
Saigo no Yakusoku no Monogatari,PSP,2011
Green Lantern: Rise of the Manhunters,DS,2011
Fit in Six,Wii,2011
MLB 14: The Show,PSV,2014
Sniper Elite,Wii,2010
Tales of the World: Reve Unitia,3DS,2014
Naruto Shippuden 3D: The New Era,3DS,2011
WWE 2K17,X360,2016
Tom Clancy's Splinter Cell: Conviction,PC,2010
Robotics;Notes,PS3,2012
Rango: The Video Game,DS,2011
Warriors Orochi 3,PSP,2012
Dragon Ball Z: Battle of Z,PSV,2014
Kuroko's Basketball: Miracle Game,PSP,2012
Aquapazza: Aquaplus Dream Match,PS3,2012
Stronghold Kingdoms,PC,2011
Yuusha no Kuse ni Namaikida Or 3D,PSP,2010
Lucha Libre AAA: Heroes del Ring,PS3,2010
Mobile Suit Gundam Age: Universe Accel / Cosmic Drive,PSP,2012
Pac-Man and the Ghostly Adventures 2,X360,2014
Busou Shinki: Battle Masters Mk. 2,PSP,2011
Skylanders Imaginators,PS3,2016
Fate/Extella: The Umbral Star,PS4,2016
Fairy Tail: Portable Guild,PSP,2010
"Sakura Wars: So Long, My Love",Wii,2010
Mind Zero,PSV,2013
Pro Yaky? Spirits 2010,PS2,2010
Taiko no Tatsujin: V Version,PSV,2015
Family Feud: 2012 Edition,X360,2011
Kamen Rider: Battride War II,PS3,2014
Kenka Bancho Bros: Tokyo Battle Royale,PSP,2012
My First Dollhouse,DS,2010
Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016
Fatal Frame 2: Wii Edition,Wii,2012
Sacred 3,PS3,2014
Yoostar2,PS3,2011
Wasteland 2,PC,2015
The First Templar,X360,2011
Digimon Story: Lost Evolution,DS,2010
Pro Evolution Soccer 2014,PC,2013
Despicable Me: The Game,PS2,2010
Etrian Odyssey II: Heroes of Lagaard,3DS,2014
The Bachelor: The Videogame,Wii,2010
Who Wants to Be a Millionaire: 3rd Edition,Wii,2010
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,DS,2011
Macross 30: Ginga o Tsunagu Utagoe,PS3,2013
Kidou Senshi Gundam UC,PS3,2012
Little Battlers eXperience W,3DS,2013
Blades of Time,X360,2012
Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV,2014
"Sesame Street: Ready, Set, Grover!",Wii,2011
Gem Quest: 4 Elements,DS,2011
Samurai Warriors Chronicles 2nd,3DS,2012
Toaru Majutsu no Index,PSP,2011
Uta no Prince-Sama: Music,PSP,2011
Ride,XOne,2015
NASCAR The Game: Inside Line,X360,2012
How to Train Your Dragon 2,PS3,2014
Weiss Schwarz Portable,PSP,2011
Dora's Big Birthday Adventure,Wii,2010
The Sims 4: City Living,PC,2016
Inazuma Eleven GO Strikers 2013,Wii,2012
Metal Gear Solid HD Edition,PS3,2011
Alvin and the Chipmunks: Chipwrecked,DS,2011
PDC World Championship Darts: Pro Tour,PS3,2010
Heavy Fire: Afghanistan,Wii,2011
Football Manager 2014,PSV,2013
Penguin no Mondai: The World,DS,2010
Monkey Island: Special Edition Collection,PS3,2011
Cabela's Adventure Camp,X360,2011
Digimon Adventure,PSP,2013
Scribblenauts Unmasked: A DC Comics Adventure,WiiU,2013
Terraria,PSV,2013
Alvin and the Chipmunks: Chipwrecked,X360,2011
All Kamen Rider: Rider Generation 2,DS,2012
Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013
Lord of Apocalypse,PSV,2011
Dancing on Ice,Wii,2010
Resident Evil: Revelations 2,PSV,2015
Record of Agarest War Zero,X360,2010
HOP,DS,2011
Machi-Ing Maker 3 x Tousouchuu,PSP,2010
Truth or Lies,Wii,2010
Harry Potter and the Deathly Hallows - Part 1,PC,2010
Resident Evil: Revelations 2,XOne,2015
Thief (2014),PC,2014
Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015
Sword Art Online: Lost Song,PS3,2015
Puss in Boots,DS,2011
Tom Clancy's Ghost Recon: Predator,PSP,2010
Murdered: Soul Suspect,X360,2014
nail'd,X360,2010
Pinball Hall of Fame: The Williams Collection,3DS,2011
Attack of the Movies 3D,Wii,2010
Little League World Series Baseball 2010,X360,2010
Generator Rex: Agent of Providence,3DS,2011
Cabela's North American Adventures,PSP,2010
X-Men: Destiny,Wii,2011
"Warhammer 40,000: Dawn of War II - Chaos Rising",PC,2010
NBA 2K16,PC,2015
Fate/hollow ataraxia,PSV,2014
Marvel Super Hero Squad: The Infinity Gauntlet,3DS,2011
Tales of Innocence R,PSV,2012
Harry Potter and the Deathly Hallows - Part 2,PC,2011
Nicktoons: MLB,DS,2011
Tom Clancy's HAWX 2,Wii,2010
Start the Party! Save the World,PS3,2011
Steins;Gate,PSV,2013
"Prinny 2: Dawn of Operation Panties, Dood!",PSP,2010
Lord of Apocalypse,PSP,2011
Dora & Kai-Lan's Pet Shelter,DS,2011
Nancy Drew: The Model Mysteries,DS,2010
Ultra Street Fighter IV,PS4,2015
EVE: Valkyrie,PS4,2016
The Walking Dead: Season Two,X360,2014
The Crew: Wild Run,PS4,2015
The Walking Dead: Season Two,PSV,2014
NASCAR Unleashed,PS3,2011
Code:Realize - Sousei no Himegimi,PSV,2014
Natural Doctrine,PS4,2014
NeverDead,X360,2012
Blades of Time,PS3,2012
Thor: God of Thunder,3DS,2011
Pro Evolution Soccer 2016,X360,2015
Cubic Ninja,3DS,2011
Ben 10 Galactic Racing,X360,2011
F1 2014,PC,2014
Angry Birds Star Wars,WiiU,2013
Rapala Pro Bass Fishing 2010,DS,2010
MySims SkyHeroes,X360,2010
The Idolmaster: Platinum Stars,PS4,2016
Jikkyou Powerful Pro Yakyuu 2013,PSV,2013
Shovel Knight,WiiU,2015
Makai Shin Trillion,PSV,2014
Digimon World: Next Order,PSV,2016
Who Wants to Be A Millionaire?,X360,2011
Operation Abyss: New Tokyo Legacy,PSV,2014
Skylanders: Spyro's Adventure,PC,2011
Man vs. Wild,X360,2011
Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,PSV,2012
iCarly 2: iJoin The Click!,Wii,2010
Gundam Breaker 3,PS4,2016
Etrian Odyssey 2 Untold: Knight of Fafnir,3DS,2014
Dora's Cooking Club,DS,2010
Sol Trigger,PSP,2012
Samurai Warriors 4: Empires,PS4,2015
Digimon Story: Super Xros Wars Blue/Red,DS,2011
Cartoon Network: Punch Time Explosion,3DS,2011
Tennis no Oji-Sama: Motto Gakuensai no Ouji-Sama - More Sweet Edition,DS,2010
Bejeweled Twist,DS,2010
Kuroko's Basketball: Miracle Game,3DS,2014
Lego Star Wars: The Force Awakens,PSV,2016
Skylanders Imaginators,XOne,2016
The Voice,WiiU,2014
One Piece: Burning Blood,PSV,2016
Rio,X360,2011
Gundam Breaker,PSV,2013
Kiniro no Corda 3,PSP,2010
Squinkies 2: Adventure Mall Surprize!,DS,2011
Ultimate Marvel vs. Capcom 3,PS3,2011
MindJack,X360,2011
thinkSMART,DS,2010
National Geographic Challenge!,Wii,2011
Just Dance 2017,WiiU,2016
Brain Age: Concentration Training,3DS,2012
NatGeo Challenge! Wild Life,PS3,2010
Kung Fu Panda 2,PS3,2011
Pac-Man and the Ghostly Adventures 2,PS3,2014
Field & Stream: Total Outdoorsman Challenge,X360,2010
Dungeons,PC,2011
Winter Stars,X360,2011
Disney Planes Fire & Rescue,3DS,2014
PhotoKano,PSP,2012
Ouchi Mainichi Tamagotchi,3DS,2012
Super Robot Wars OG: The Moon Dwellers,PS4,2016
Girls und Panzer: I Will Master Tankery,PSV,2014
Young Justice: Legacy,PS3,2013
Ys VIII: Lacrimosa of Dana,PSV,2016
Devil May Cry 4,PS4,2015
Adventure Time: Finn & Jake Investigations,PS4,2015
Pro Evolution Soccer 2013,Wii,2012
Arcania: Gothic 4,X360,2010
MegaTagmension Blanc + Neptune VS Zombies,PSV,2015
SingStar Guitar,PS3,2010
The Smurfs 2,Wii,2013
Angry Birds: Rio,PC,2011
Backyard Sports: Sandlot Sluggers,X360,2010
Uta no Prince-Sama: Debut,PSP,2012
Galactic Taz Ball,DS,2010
PAC-MAN and the Ghostly Adventures,3DS,2013
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016
Minecraft: Story Mode,PC,2015
Hakuouki: Zuisouroku Portable,PSP,2010
Imagine: Reporter,DS,2010
Dragon Ball Kai: Ultimate Butouden,DS,2011
Major League Baseball 2K12,PSP,2012
The Story of Noah's Ark,DS,2010
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS2,2010
Steins;Gate 0,PSV,2015
Ghostbusters: The Video Game (DS Version),PC,2010
Dance on Broadway,PS3,2011
Resident Evil Chronicles HD,PS3,2012
Football Manager 2017,PC,2016
Army Corps of Hell,PSV,2011
MXGP 2,PS4,2016
Hyperdimension Idol Neptunia PP,PSV,2013
I Love Puppies,DS,2010
Green Lantern: Rise of the Manhunters,Wii,2011
Alvin and the Chipmunks: Chipwrecked,Wii,2011
U-Sing  2,Wii,2010
Monopoly Collection,Wii,2011
Jimmie Johnson's Anything With an Engine,X360,2011
Quiz Magic Academy DS: Futatsu no Jikuu Koku,DS,2010
Singstar: Ultimate Party,PS3,2014
Digimon All-Star Rumble,PS3,2014
Sonic Boom: Fire & Ice,3DS,2016
Driver: Renegade,3DS,2011
NERF N-Strike: Double Blast Bundle,Wii,2010
Dead or Alive 5,PSV,2013
May's Mystery: Forbidden Memories,DS,2011
Yaiba: Ninja Gaiden Z,PS3,2014
Castlevania: Lords of Shadow 2,X360,2014
Bass Pro Shops: The Hunt,X360,2010
Pro Evolution Soccer 2012,PC,2011
Michael Jackson: The Experience,PSV,2011
Major League Baseball 2K11,DS,2011
JASF: Jane's Advanced Strike Fighters,X360,2011
The Smurfs 2,PS3,2013
Disgaea Infinite,PSP,2010
Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Wii,2010
Phantom Brave: The Hermuda Triangle,PSP,2010
Cardfight!! Vanguard: Ride to Victory,3DS,2013
Carnival Games: Wild West 3D,3DS,2011
The Wolf Among Us,PS3,2014
The X-Factor,X360,2010
Pokemon Rumble World,3DS,2015
Rugby 15,PS3,2015
Last Rebellion,PS3,2010
Ben 10 Galactic Racing,PS3,2011
Champion Jockey: G1 Jockey & Gallop Racer,Wii,2011
DriveClub VR,PS4,2016
Truth or Lies,PS3,2010
Shin Ken to Mah? to Gakuenmono. Toki no Gakuen,PSP,2012
Quantum Theory,X360,2010
Uta no Prince-Sama: Music 2,PSP,2013
Skylanders Imaginators,X360,2016
SpongeBob: HeroPants,X360,2015
Back to the Future: The Game,PS3,2011
Arslan: The Warriors of Legend,PS4,2015
Pro Yaky? Spirits 2014,PSP,2014
Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,2010
Monster Jam: Path of Destruction,PSP,2010
Atelier Totori: The Adventurer of Arland,PSV,2012
No More Heroes: Red Zone,PS3,2011
Deadliest Catch: Sea of Chaos,X360,2010
Fate/Extella: The Umbral Star,PSV,2016
Dora's Big Birthday Adventure,DS,2010
Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!,DS,2010
Might & Magic Heroes VII,PC,2015
Mahjong Cub3D,3DS,2011
Blazblue: Continuum Shift Extend,PS3,2011
Rock Band Country Track Pack 2,Wii,2011
Wolfenstein: The Old Blood,PC,2015
GRID Autosport,X360,2014
Romance of the Three Kingdoms XII,PS3,2012
Adventure Time: Finn & Jake Investigations,PS3,2015
Challenge Me: Brain Puzzles 2,DS,2010
Remington Super Slam Hunting: Alaska,Wii,2011
Cake Mania: Main Street,DS,2011
Jikkyou Powerful Pro Yakyuu 2012,PSV,2012
Knights in the Nightmare,PSP,2010
Pillow Pets,DS,2011
Sengoku Basara 4: Sumeragi,PS3,2015
Terraria,3DS,2016
WRC 5: FIA World Rally Championship,PS3,2015
Digimon World Re:Digitize Decode,3DS,2013
The Amazing Spider-Man (Console Version),WiiU,2013
Risen 3: Titan Lords,PC,2014
Chou Jigen Game Neptune Mk-II,PS3,2011
Dead or Alive 5,XOne,2015
Game Hits!,DS,2010
Spider-Man: Edge of Time,Wii,2011
Rock Band 3,DS,2010
Dynasty Warriors 8: Empires,PS3,2014
Batman: A Telltale Game Series,PS4,2016
Red Faction: Armageddon,PC,2011
BIT.TRIP COMPLETE,Wii,2011
Rugby 15,XOne,2015
The Witch and the Hundred Knight,PS4,2015
Kuroko's Basketball: Ties to Future,3DS,2015
Data East Arcade Classics,Wii,2010
Inazuma Eleven 3,3DS,2013
Just Dance Wii U,WiiU,2014
FIFA 12,PS2,2011
Assassin's Creed Chronicles,PS4,2016
The Smurfs 2,WiiU,2013
Lara Croft and the Temple of Osiris,PS4,2014
Busy Scissors,Wii,2010
Lost Heroes,3DS,2012
SD Gundam G Generation Genesis,PSV,2016
Puss in Boots,PS3,2011
Mystery Stories: Curse of the Ancient Spirits,DS,2011
Great Party Games,Wii,2010
Beat Sketch!,PS3,2010
Puzzle Chronicles,PSP,2010
Gray Matter,PC,2011
Adventure Time: Finn & Jake Investigations,3DS,2015
Toukiden 2,PS4,2016
SD Gundam G Generation Genesis,PS4,2016
NASCAR The Game: Inside Line,PS3,2012
BlazBlue Central Fiction,PS4,2016
Jaws: Ultimate Predator,Wii,2011
Are You Smarter Than a 5th Grader? Back to School,DS,2010
Princess Isabella: A Witch's Curse,DS,2010
The Seven Deadly Sins: Unjust Sin,3DS,2015
Nano Assault,3DS,2011
Captain America: Super Soldier,3DS,2011
Nikoli's Pencil Puzzle,3DS,2011
Deadliest Catch: Sea of Chaos,PS3,2010
How to Train Your Dragon 2,WiiU,2014
Angry Birds Star Wars,PSV,2013
The Voice,X360,2014
SaGa 3: Jikuu no Hasha - Shadow or Light,DS,2011
Thomas & Friends: Hero of the Rails,DS,2010
Bejeweled 3,PC,2010
Edna & Harvey: Harvey's New Eyes,PC,2011
The Golf Club,PS4,2014
God Eater Resurrection,PS4,2015
MotoGP 14 ,X360,2014
Gundam the 3D Battle,3DS,2011
Air Conflicts: Secret Wars,X360,2011
Shovel Knight,PS4,2015
Invizimals: The Alliance,PSV,2013
Junior Mystery Quest,DS,2011
101-in-1 Sports Megamix,DS,2010
Pro Evolution Soccer 2013,PC,2012
Transformers: Devastation,PS3,2015
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3,2011
Wildlife Park 3,PC,2011
Get Fit with Mel B,Wii,2010
Battleborn,PC,2016
Kamen Rider: Travelers Senki,3DS,2013
Pretty Rhythm: My Deco Rainbow Wedding,3DS,2013
Naruto Shippuden: Shinobi Rumble,DS,2010
Martian Panic,Wii,2010
Guilty Gear Xrd -Revelator-,PS4,2016
Mega Man Legacy Collection,PS4,2016
Knights Contract,PS3,2011
Kaijuu Busters Powered,DS,2011
One Piece: Romance Dawn - Bouken no Yoake,3DS,2013
I Am In The Movie,Wii,2012
Generator Rex: Agent of Providence,Wii,2011
Adventure Time: The Secret of the Nameless Kingdom,3DS,2014
Risen 3: Titan Lords,PS3,2014
Transformers: Devastation,X360,2015
DanceDanceRevolution,X360,2011
Murder in Venice,DS,2011
Titanfall 2,PC,2016
Persona 4: Arena Ultimax,X360,2014
Supremacy MMA,X360,2011
Pretty Rhythm Rainbow Live: Kira Kira My * Design,3DS,2013
DaGeDar,DS,2011
Little League World Series Baseball 2010,PS3,2010
Steins;Gate: Hiyoku Renri no Darling,X360,2011
Major League Baseball 2K11,PC,2011
Warriors Orochi 3 Hyper,WiiU,2012
Kaidan Restaurant: Ura Menu 100-Sen,DS,2010
Cartoon Network: Punch Time Explosion XL,Wii,2011
PAC-MAN and the Ghostly Adventures,PS3,2013
WSC Real 11: World Snooker Championship,PS3,2011
Uta no Prince-Sama: All Star After Secret,PSP,2015
The Sims 3: Fast Lane Stuff,PC,2010
Man vs. Wild,PS3,2010
Legend of the Guardians: The Owls of Ga'Hoole,PS3,2010
Sniper: Ghost Warrior 2,PC,2013
Pro Cycling Manager 2016,PS4,2016
Sports Collection,DS,2010
Captain Tsubasa: New Kick Off,DS,2010
Puzzler Mind Gym 3D,3DS,2011
"Warhammer 40,000: Dawn of War II - Retribution",PC,2011
Super Sentai Battle: Ranger Cross,Wii,2011
AKB1/149: Love Election,PS3,2013
Ken to Mahou to Gakuen Mono. Final: Shinnyusei wa Ohimesama,PSP,2011
Sherlock Holmes: Crimes & Punishments,XOne,2014
SingStar Apres-Ski Party 2,PS3,2010
Cabela's North American Adventures,PS2,2010
Akiba's Trip Plus,PSP,2012
Little League World Series Baseball: Double Play,Wii,2010
Kobitodzukan: Kobito no Fushigi - Jikken Set,3DS,2013
Bakugan: Rise of the Resistance,DS,2011
The Bachelor: The Videogame,DS,2010
Doraemon: Nobita and the Island of Miracles,3DS,2012
Gekijouban Madoka Magicka: The Battle Pentagram,PSV,2013
Knights Contract,X360,2011
PAC-MAN and the Ghostly Adventures,X360,2013
Sengoku Musou 3: Moushouden ,Wii,2011
Witches & Vampires: The Secrets of Ashburry,DS,2010
Pac-Man and the Ghostly Adventures 2,3DS,2014
The First Templar,PC,2011
The $1 Pyramid,Wii,2011
Game of Thrones,PC,2012
UEFA Euro 2016,PS3,2016
Lost Dimension,PSV,2014
Resident Evil 6,PS4,2016
Assassin's Creed: Rogue,PC,2015
Petz Fantasy: Sunshine Magic,DS,2010
Motto! Stitch! DS Rhythm de Rakugaki Daisakusen,DS,2010
Rapala Pro Bass Fishing 2010,PS2,2010
Dungeon Travelers 2: The Royal Library & The Monster Seal,PSP,2013
Horrid Henry's Horrid Adventure,DS,2010
X Rebirth,PC,2013
Song of the Deep,PS4,2016
Dragon's Dogma Online,PS4,2015
FabStyle,DS,2011
Medabots Dual: Kabuto / Kuwagata,3DS,2013
Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013
Resident Evil Zero,XOne,2016
Assassin's Creed The Ezio Collection,XOne,2016
ZhuZhu Babies,DS,2011
Bleach: Heat the Soul 7,PSP,2010
Diego's Build & Rescue,DS,2010
Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,3DS,2012
Major League Baseball 2K12,DS,2012
Zoo Tycoon (2013),X360,2013
Criminal Girls: Invite Only,PSP,2010
Just Dance: Disney Party 2,WiiU,2015
The Sims 3: Barnacle Bay,PC,2011
Metal Gear Solid V: The Phantom Pain,PC,2015
Adventure Time: Finn & Jake Investigations,X360,2015
Valentino Rossi: The Game,PS4,2016
Samurai Warriors Chronicles 3,3DS,2014
Winter Stars,PS3,2011
Dawn of Heroes,DS,2010
Ro-Kyu-Bu!,PSP,2011
Serious Sam 3: BFE,PC,2011
Pro Yakyuu Famista DS 2010,DS,2010
Man vs. Wild,Wii,2011
Yoru no Nai Kuni,PS4,2015
Sumikko Gurashi: Mura o Tsukurundesu,3DS,2016
Need for Speed: Most Wanted,PC,2012
The Wolf Among Us,XOne,2014
10 Minute Solution,Wii,2010
Family Game Night 4: The Game Show,X360,2011
Romance of the Three Kingdoms 13,PS4,2015
Zero Escape: Zero Time Dilemma,3DS,2016
Genkai Totsuki Moero Chronicle,PSV,2014
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Wii,2011
Aikatsu! My No.1 Stage!,3DS,2015
Conception: Please Give Birth to My Child!,PSP,2012
Rayman Origins,PC,2012
The Idolmaster: Gravure For You! Vol. 3,PS3,2011
Yoru no Nai Kuni,PSV,2015
Tennis no Oji-Sama Gyutto! DokiDoki Survival - Umi to Yama no Love Passion,DS,2011
Nicola Kanshuu: Model Oshare * Audition Platina,3DS,2012
Jimmie Johnson's Anything With an Engine,PS3,2011
Fairy Tail: Portable Guild 2,PSP,2011
Grand Ages: Medieval,PS4,2015
Supremacy MMA,PSV,2012
Lost Dimension,PS3,2014
Killer Instinct (2013),XOne,2013
AKB1/149: Love Election,PSV,2012
Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,PSP,2010
Kenka Banchou 6: Soul & Blood,3DS,2015
Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,PS3,2011
Medabots 8,3DS,2014
Divinity: Original Sin,XOne,2015
Little League World Series Baseball: Double Play,DS,2010
Hakuouki DS,DS,2010
Grease Dance,PS3,2011
Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,2010
My First Songs,Wii,2010
Legend of the Guardians: The Owls of Ga'Hoole,X360,2010
Touch Detective: Nameko Shigeru,3DS,2013
PhotoKano,PSV,2013
Warriors Orochi 3,PSV,2013
Blood Drive,PS3,2010
Soccer Tsuku: Pro Soccer Club o Tsukurou!,PSV,2013
Summon Night 4,PSP,2012
Escape Dead Island,PS3,2014
Hero Bank,3DS,2014
Disney's Planes,3DS,2013
Cartoon Network: Punch Time Explosion XL,X360,2011
Utawarerumono: Itsuwari no Kamen,PSV,2015
Damage Inc.: Pacific Squadron WWII,X360,2012
Tokimeki Memorial Girl's Side Premium: 3rd Story,PSP,2012
America's Next Top Model,Wii,2010
Toy Soldiers: War Chest,PS4,2015
Chronicles of Mystery: The Secret Tree of Life,DS,2011
"Sesame Street: Ready, Set, Grover!",DS,2011
Gunblade NY & L.A. Machineguns Arcade Hits Pack,Wii,2010
"3 in 1: Solitaire, Mahjong & Tangram",DS,2010
Emergency 2012,PC,2010
Busou Shinki: Battle Masters,PSP,2010
Fairy Fencer F: Advent Dark Force,PS4,2015
Winning Post 7 2012,PS3,2012
Model * Oshare Audition: Dream Girl,3DS,2013
Lupin Sansei: Shijou Saidai no Zunousen,DS,2010
Dark Souls III,PC,2016
Petz Fantasy 3D,3DS,2011
WRC 2: FIA World Rally Championship,X360,2011
Winning Eleven Playmaker 2010: Aoki Samurai no Chousen,Wii,2010
Hakuouki: Yuugi Roku,PSP,2010
Rapala Pro Bass Fishing 2010,PSP,2010
Squishy Tank,DS,2010
E.X. Troopers,3DS,2012
The Croods: Prehistoric Party!,Wii,2013
J Legend Retsuden,3DS,2013
Hyperdimension Neptunia Re;Birth 3,PSV,2014
Pro Farm 1,PC,2011
Rock Band Country Track Pack 2,PS3,2011
Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,3DS,2012
Jewel Time Deluxe,DS,2011
Generator Rex: Agent of Providence,PS3,2011
Emily the Strange: Strangerous,DS,2011
Jimmie Johnson's Anything With an Engine,Wii,2011
Just Dance: Disney Party 2,XOne,2015
Kane & Lynch 2: Dog Days,PC,2010
Grand Kingdom,PS4,2015
Let's Paint,Wii,2010
Rugby League 3,Wii,2010
Magi: The Labyrinth of Beginning,3DS,2013
Escape Dead Island,X360,2014
The Croods: Prehistoric Party!,DS,2013
I Don't Have Many Friends Portable,PSP,2012
